Name,City,Salary_From,Salary_To,Currency,Experience,Employment_Type,Role
технолог молочной продукции,астана,500000.0,,KZT,более 6 лет,полная занятость,технолог
инженер технического надзора,астана,550000.0,,KZT,от 3 до 6 лет,полная занятость,"инженер пто, инженер-сметчик"
архитектор-проектировщик,астана,,300000.0,KZT,от 3 до 6 лет,полная занятость,архитектор
"начальник участка на строительство автодорог, тоннелей",астана,500000.0,800000.0,KZT,от 3 до 6 лет,полная занятость,"прораб, мастер смр"
руководитель отдела продаж,астана,400000.0,800000.0,KZT,от 1 года до 3 лет,полная занятость,руководитель отдела продаж
менеджер по проектам (архитектура и проектирование),астана,300000.0,600000.0,KZT,от 1 года до 3 лет,полная занятость,руководитель проектов
менеджер по продажам,астана,600000.0,1000000.0,KZT,от 1 года до 3 лет,полная занятость,"менеджер по продажам, менеджер по работе с клиентами"
разметчик данных / data annotator,астана,150000.0,,KZT,от 1 года до 3 лет,проектная работа,"bi-аналитик, аналитик данных"
инженер-проектировщик,астана,500000.0,800000.0,KZT,от 3 до 6 лет,полная занятость,"инженер-конструктор, инженер-проектировщик"
smm специалист,астана,300000.0,350000.0,KZT,от 1 года до 3 лет,полная занятость,"smm-менеджер, контент-менеджер"
unity-разработчик,астана,500000.0,750000.0,KZT,от 3 до 6 лет,полная занятость,гейм-дизайнер
заведующий складом грузовых запасных частей,астана,500000.0,,KZT,от 1 года до 3 лет,полная занятость,начальник склада
инспектор отдела кадров,астана,308000.0,350000.0,KZT,от 1 года до 3 лет,полная занятость,специалист по кадрам
маркетолог,астана,800000.0,1000000.0,KZT,от 3 до 6 лет,полная занятость,"менеджер по маркетингу, интернет-маркетолог"
инженер по ремонту электроники,астана,445640.0,,KZT,от 3 до 6 лет,полная занятость,"инженер-электроник, инженер-электронщик"
бизнес-тренер,астана,300000.0,450000.0,KZT,от 3 до 6 лет,полная занятость,бизнес-тренер
c#/.net-разработчик,астана,500000.0,1000000.0,KZT,от 1 года до 3 лет,полная занятость,"программист, разработчик"
маркетолог,астана,150000.0,500000.0,KZT,от 1 года до 3 лет,полная занятость,руководитель отдела маркетинга и рекламы
smm-менеджер,астана,300000.0,,KZT,от 1 года до 3 лет,частичная занятость,"smm-менеджер, контент-менеджер"
начальник по охране труда и технике безопасности,астана,400000.0,500000.0,KZT,от 3 до 6 лет,полная занятость,"инженер по охране труда и технике безопасности, инженер-эколог"
руководитель отдела продаж (it сфера),астана,500000.0,1500000.0,KZT,от 1 года до 3 лет,полная занятость,руководитель отдела продаж
графический дизайнер,астана,200000.0,400000.0,KZT,от 3 до 6 лет,полная занятость,"дизайнер, художник"
технолог мясного производства,астана,800000.0,1100000.0,KZT,от 1 года до 3 лет,полная занятость,технолог
контент-маркетолог,астана,400000.0,,KZT,от 1 года до 3 лет,полная занятость,"менеджер по маркетингу, интернет-маркетолог"
главный архитектор проекта,астана,600000.0,1000000.0,KZT,более 6 лет,полная занятость,архитектор
ведущий архитектор,астана,700000.0,,KZT,от 3 до 6 лет,полная занятость,архитектор
инженер пто,астана,300000.0,700000.0,KZT,от 1 года до 3 лет,полная занятость,руководитель проектов
менеджер по контролю качества gps,астана,300000.0,,KZT,от 1 года до 3 лет,полная занятость,инженер по качеству
hr-директор (senior),астана,,1700.0,USD,от 1 года до 3 лет,полная занятость,директор по персоналу (hrd)
главный энергетик,астана,,601000.0,KZT,от 3 до 6 лет,полная занятость,"инженер-энергетик, инженер-электрик"
node.js разработчик,астана,500000.0,850000.0,KZT,от 1 года до 3 лет,полная занятость,"программист, разработчик"
php-разработчик (laravel),астана,400000.0,900000.0,KZT,от 3 до 6 лет,полная занятость,"программист, разработчик"
backend developer (middle / middle+) — django,астана,600000.0,600000.0,KZT,от 3 до 6 лет,полная занятость,"программист, разработчик"
инженер слаботочных систем/инженер связи,астана,300000.0,500000.0,KZT,от 1 года до 3 лет,полная занятость,"инженер-энергетик, инженер-электрик"
веб-разработчик,астана,500000.0,500000.0,KZT,от 3 до 6 лет,полная занятость,"программист, разработчик"
smm-специалист,астана,,400000.0,KZT,от 1 года до 3 лет,полная занятость,"smm-менеджер, контент-менеджер"
бизнес-аналитик/системный аналитик,астана,500000.0,700000.0,KZT,от 1 года до 3 лет,полная занятость,аналитик
специалист по кадрам,астана,,340000.0,KZT,от 3 до 6 лет,полная занятость,специалист по подбору персонала
дендролог,астана,250000.0,,KZT,от 3 до 6 лет,полная занятость,"учитель, преподаватель, педагог"
laravel junior/junior+ разработчик,астана,250000.0,300000.0,KZT,от 1 года до 3 лет,полная занятость,"программист, разработчик"
менеджер по продажам,астана,250000.0,600000.0,KZT,от 1 года до 3 лет,полная занятость,"менеджер по продажам, менеджер по работе с клиентами"
it-рекрутер в компанию,астана,250000.0,350000.0,KZT,от 1 года до 3 лет,частичная занятость,специалист по подбору персонала
учитель физики трехъязычный,астана,350000.0,,KZT,от 3 до 6 лет,полная занятость,"учитель, преподаватель, педагог"
юрист по корпоративному праву / corporate lawyer (middle),астана,,600000.0,KZT,от 3 до 6 лет,полная занятость,юрист
региональный представитель,астана,400000.0,,KZT,от 1 года до 3 лет,частичная занятость,"менеджер по продажам, менеджер по работе с клиентами"
электромонтер,астана,216000.0,216000.0,KZT,от 1 года до 3 лет,полная занятость,электромонтажник
ui дизайнер,астана,40000.0,,KZT,от 1 года до 3 лет,проектная работа,"дизайнер, художник"
оператор 1с,астана,220000.0,264000.0,KZT,от 1 года до 3 лет,полная занятость,бухгалтер
стоматолог,астана,500000.0,1500000.0,KZT,от 3 до 6 лет,полная занятость,врач
руководитель отдела продаж (b2b‑промышленность),астана,300000.0,2000000.0,KZT,от 3 до 6 лет,полная занятость,руководитель отдела продаж
менеджер по работе с ключевыми клиентами,астана,520000.0,,KZT,от 1 года до 3 лет,полная занятость,"менеджер по продажам, менеджер по работе с клиентами"
директор по персоналу (hrd),астана,250000.0,600000.0,KZT,от 1 года до 3 лет,полная занятость,директор по персоналу (hrd)
дизайнер инфографики маркетплейса,астана,250000.0,350000.0,KZT,от 1 года до 3 лет,проектная работа,"менеджер по маркетингу, интернет-маркетолог"
менеджер по продажам,астана,400000.0,,KZT,от 1 года до 3 лет,частичная занятость,"менеджер по продажам, менеджер по работе с клиентами"
педагог дошкольник,астана,300000.0,,KZT,более 6 лет,полная занятость,"учитель, преподаватель, педагог"
начальник отдела правового обеспечения,астана,700000.0,900000.0,KZT,более 6 лет,полная занятость,директор юридического департамента (clo)
smm-маркетолог,астана,400000.0,,KZT,от 1 года до 3 лет,полная занятость,"smm-менеджер, контент-менеджер"
преподаватель корейского языка,астана,100000.0,150000.0,KZT,от 1 года до 3 лет,частичная занятость,"учитель, преподаватель, педагог"
экономист,астана,500000.0,,KZT,от 1 года до 3 лет,полная занятость,экономист
экономист,астана,490000.0,500000.0,KZT,от 3 до 6 лет,полная занятость,экономист
ментор в школу программирования cap education,астана,160000.0,400000.0,KZT,нет опыта,частичная занятость,"учитель, преподаватель, педагог"
инструктор афк,астана,300000.0,400000.0,KZT,от 1 года до 3 лет,полная занятость,"учитель, преподаватель, педагог"
кадровый специалист / делопроизводитель,астана,,300000.0,KZT,от 1 года до 3 лет,полная занятость,специалист по кадрам
коммерческий директор в производственную компанию,астана,1000000.0,,KZT,более 6 лет,полная занятость,коммерческий директор (cco)
сервисный инженер электронщик (мастер по ремонту),астана,,500000.0,KZT,от 1 года до 3 лет,полная занятость,"сервисный инженер, инженер-механик"
супервайзер на вс канал,астана,500000.0,850000.0,KZT,от 1 года до 3 лет,полная занятость,супервайзер
коммерческий директор (cco),астана,200000.0,,KZT,от 3 до 6 лет,полная занятость,коммерческий директор (cco)
менеджер по продажам в сегменте horeca,астана,500000.0,,KZT,от 1 года до 3 лет,полная занятость,"менеджер по продажам, менеджер по работе с клиентами"
инженер по микроэлектронике,астана,500000.0,500000.0,KZT,от 1 года до 3 лет,полная занятость,другое
интегратор bitrix 24,астана,500000.0,1000000.0,KZT,от 3 до 6 лет,полная занятость,методолог
business development specialist,астана,250000.0,,KZT,нет опыта,полная занятость,другое
инженер-геолог / технический директор,астана,800000.0,1000000.0,RUR,более 6 лет,полная занятость,геолог
"маркетолог/smm-менеджер/контент-менеджер компания ""izitel""",астана,100000.0,150000.0,KZT,от 3 до 6 лет,частичная занятость,"smm-менеджер, контент-менеджер"
fullstack/back-end разработчик (middle) для e-commerce и saas проектов,астана,500000.0,700000.0,KZT,от 1 года до 3 лет,полная занятость,"программист, разработчик"
native english teacher,астана,80000.0,100000.0,KZT,от 3 до 6 лет,частичная занятость,"учитель, преподаватель, педагог"
финансовый менеджер,астана,300000.0,350000.0,KZT,от 1 года до 3 лет,полная занятость,финансовый менеджер
тренер по большому теннису,астана,500000.0,800000.0,KZT,от 1 года до 3 лет,полная занятость,"фитнес-тренер, инструктор тренажерного зала"
менеджер по развитию бизнеса,астана,,500000.0,KZT,от 1 года до 3 лет,полная занятость,бизнес-аналитик
экономист-сметчик,астана,,600000.0,KZT,от 3 до 6 лет,полная занятость,экономист
"инженер по сетям ов, вк и электрика",астана,200000.0,500000.0,KZT,от 3 до 6 лет,полная занятость,"инженер-конструктор, инженер-проектировщик"
инженер-конструктор/расчетчик,астана,700000.0,1100000.0,KZT,более 6 лет,полная занятость,"инженер-конструктор, инженер-проектировщик"
главный / ведущий инженер-конструктор,астана,,1000000.0,KZT,от 1 года до 3 лет,полная занятость,"инженер-конструктор, инженер-проектировщик"
структурный дизайнер-конструктор,астана,700000.0,800000.0,KZT,от 3 до 6 лет,полная занятость,"инженер-конструктор, инженер-проектировщик"
ведущий архитектор,астана,400000.0,,KZT,от 1 года до 3 лет,полная занятость,архитектор
шеф-повар в национальный музей-ресторан,астана,800000.0,1000000.0,KZT,от 3 до 6 лет,полная занятость,"повар, пекарь, кондитер"
"консультант 1с (бк, бгп, бгу, зуп, куфиб)",астана,400000.0,700000.0,KZT,от 1 года до 3 лет,полная занятость,бухгалтер
менеджер по продажам строительных материалов,астана,500000.0,1000000.0,KZT,от 3 до 6 лет,полная занятость,"менеджер по продажам, менеджер по работе с клиентами"
project manager/менеджер it проектов,астана,250000.0,350000.0,KZT,от 1 года до 3 лет,полная занятость,руководитель проектов
интернет-маркетолог,астана,250000.0,250000.0,KZT,от 1 года до 3 лет,полная занятость,"менеджер по маркетингу, интернет-маркетолог"
технолог очистных сооружений сточных вод,астана,400000.0,,KZT,от 3 до 6 лет,полная занятость,оператор производственной линии
hr generalist / hr manager / рекрутер,астана,400000.0,600000.0,KZT,от 1 года до 3 лет,полная занятость,другое
менеджер по кадрам и делопроизводству,астана,250000.0,300000.0,KZT,от 1 года до 3 лет,полная занятость,специалист по кадрам
заместитель директора,астана,450000.0,450000.0,KZT,от 3 до 6 лет,полная занятость,руководитель отдела логистики
настройщик bpm-системы,астана,150000.0,300000.0,KZT,нет опыта,полная занятость,"программист, разработчик"
