Name,City,Salary_From,Salary_To,Currency,Experience,Employment_Type,Role
сетевой администратор,астана,500000.0,,KZT,от 3 до 6 лет,полная занятость,системный администратор
python разработчик middle,астана,500000.0,800000.0,KZT,от 1 года до 3 лет,полная занятость,"программист, разработчик"
главный аналитик отдела коммерческой деятельности,астана,650000.0,650000.0,KZT,от 3 до 6 лет,полная занятость,аналитик
повар в дом,астана,700000.0,1000000.0,KZT,от 3 до 6 лет,полная занятость,"повар, пекарь, кондитер"
smm-менеджер,астана,350000.0,400000.0,KZT,от 1 года до 3 лет,полная занятость,"smm-менеджер, контент-менеджер"
менеджер отдела внутреннего контроля сервиса,астана,450000.0,450000.0,KZT,от 1 года до 3 лет,полная занятость,инженер по качеству
smm-менеджер,астана,250000.0,,KZT,от 1 года до 3 лет,частичная занятость,"smm-менеджер, контент-менеджер"
региональный менеджер по продажам,астана,850000.0,,KZT,от 3 до 6 лет,полная занятость,"менеджер по продажам, менеджер по работе с клиентами"
бизнес-аналитик,астана,,2000.0,USD,от 3 до 6 лет,полная занятость,бизнес-аналитик
руководитель колл-центра,астана,2000000.0,,KZT,от 3 до 6 лет,полная занятость,"оператор call-центра, специалист контактного центра"
менеджер по подбору персонала,астана,700000.0,1000000.0,KZT,от 3 до 6 лет,полная занятость,специалист по подбору персонала
креативный дизайнер,астана,600000.0,,KZT,более 6 лет,полная занятость,"арт-директор, креативный директор"
шеф-повар (семейный),астана,600000.0,600000.0,KZT,более 6 лет,полная занятость,"повар, пекарь, кондитер"
старший системный администратор,астана,400000.0,420000.0,KZT,от 1 года до 3 лет,полная занятость,системный администратор
финансовый директор (cfo),астана,1000000.0,,KZT,от 3 до 6 лет,полная занятость,финансовый директор (cfo)
"frontend developer (js, vuejs)",астана,80000.0,,RUR,от 1 года до 3 лет,полная занятость,"программист, разработчик"
smm-менеджер в ювелирную компанию,астана,400000.0,,KZT,от 3 до 6 лет,полная занятость,"smm-менеджер, контент-менеджер"
технический менеджер,астана,450000.0,500000.0,KZT,от 1 года до 3 лет,полная занятость,другое
няня,астана,330000.0,400000.0,KZT,от 1 года до 3 лет,полная занятость,"воспитатель, няня"
ресепшионист,астана,300000.0,,KZT,от 1 года до 3 лет,полная занятость,другое
модератор,астана,255000.0,280000.0,KZT,нет опыта,полная занятость,другое
технолог,астана,500000.0,600000.0,KZT,от 3 до 6 лет,полная занятость,технолог
junior frontend (next.js) developer,астана,250000.0,400000.0,KZT,от 1 года до 3 лет,полная занятость,"программист, разработчик"
супервайзер хозяйственного отдела (housekeeping supervisor),астана,,450000.0,KZT,от 1 года до 3 лет,полная занятость,супервайзер
бухгалтер по заработной плате,астана,600000.0,600001.0,KZT,от 3 до 6 лет,полная занятость,бухгалтер
главный бухгалтер,астана,1000000.0,,KZT,более 6 лет,полная занятость,бухгалтер
оператор,астана,350000.0,,KZT,от 1 года до 3 лет,полная занятость,"видеооператор, видеомонтажер"
уборщица/уборщик в отель,астана,,204000.0,KZT,нет опыта,полная занятость,"уборщица, уборщик"
инженер кипиа,астана,440000.0,,KZT,от 1 года до 3 лет,полная занятость,инженер пнр
личный ассистент дизайнера-интерьера,астана,200000.0,300000.0,KZT,нет опыта,полная занятость,"дизайнер, художник"
дизайнер интерьера чертежник ревит,астана,75000.0,800000.0,KZT,от 1 года до 3 лет,полная занятость,"дизайнер, художник"
заведующий сектором претензионно-исковой работы,астана,1000000.0,1500000.0,KZT,более 6 лет,полная занятость,юрист
руководитель информационно-аналитического центра,астана,800000.0,,KZT,от 1 года до 3 лет,полная занятость,devops-инженер
маркетолог,астана,250000.0,350000.0,KZT,от 1 года до 3 лет,полная занятость,"менеджер по маркетингу, интернет-маркетолог"
инженер-конструктор,астана,500000.0,,KZT,от 3 до 6 лет,полная занятость,"инженер-конструктор, инженер-проектировщик"
эколог-инженер специалист в отдел природоохранного проектирования и нормирования,астана,200000.0,300000.0,KZT,нет опыта,полная занятость,"научный специалист, исследователь"
копирайтер технических текстов (студенческие работы),астана,50000.0,100000.0,RUR,нет опыта,частичная занятость,"инженер-конструктор, инженер-проектировщик"
менеджер по логистике,астана,350000.0,400000.0,KZT,нет опыта,полная занятость,"менеджер по логистике, менеджер по вэд"
шеф-повар,астана,1000000.0,1000000.0,KZT,более 6 лет,полная занятость,"повар, пекарь, кондитер"
зоотехник - ветеринар,астана,300000.0,350000.0,KZT,от 1 года до 3 лет,полная занятость,ветеринарный врач
главный эксперт системы менеджмента качества,астана,,500000.0,KZT,от 1 года до 3 лет,полная занятость,методолог
